최첨단 미래식품을 맛본 긱블러들 반응ㅋㅋㅋ (곤충식품 왜 먹는걸까??),12:12,조회수 8.3만회,1년 전
모터 소음을 아름다운 음악으로 바꿔주는 신박한 장치 (feat. 나비보벳따우),10:38,조회수 29만회,1년 전
나비보벳따우 이과 버전 (문돌이들 듣고있나?),2:25,조회수 32만회,1년 전
공대생이 만든 대왕 짜파구리 쫄병스낵을 만드는 마법의 기계,7:36,조회수 38만회,1년 전
전자레인지에 비누를 넣고 돌리면.. 왜 이렇게 되는 걸까??,9:21,조회수 55만회,1년 전
프라이팬에서 연기나게 생일 케이크 차려주기 (긱블 팀원 소개),10:26,조회수 12만회,1년 전
공돌이를 가둬놓고 심심하게 만들었더니.. 괴상한 물건을 만들기 시작했다(거대 버니어),9:45,조회수 33만회,1년 전
후라이드 치킨을 교촌 레드콤보로 바꿔주는 마법의 기계 (치킨발사기2),16:49,조회수 59만회,1년 전
"10,000km 떨어진 아이슬란드의 천연 눈을... 녹이지 않고 한국으로 가져오기",11:37,조회수 69만회,1년 전
배 위에서 수평을 유지해주는 마법의 의자 (대형 짐벌 의자),15:50,조회수 115만회,1년 전
우린 세상을 바꿀 겁니다,2:15,조회수 14만회,1년 전
공대생의 끝판왕이 만든 날개 달린 차를 타봤다 | (테슬라 모델X 시승기 좀 담아봄ㅋ),14:22,조회수 30만회,1년 전
🐔치킨을 심폐소생 하는 게임 만들기,14:06,조회수 17만회,1년 전
이것은 '초밥'처럼 생겼지만 초밥이 아닙니다.. 절대로,9:33,조회수 12만회,1년 전
절대 얼지 않는 '이 액체'에 드라이아이스를 부었더니.. 왘ㅋㅋ생각도 못한 결과물ㅋㅋㅋ,9:14,조회수 49만회,2년 전
모두의 비난과 조롱에도.. 역사를 바꿔버린 테슬라 일론머스크,9:11,조회수 258만회,2년 전
과학적으로 잔치국수를 만들면 무슨 맛일까? (분자요리 잔치국수),15:00,조회수 56만회,2년 전
말도 안되는 고민을 대신 대답해주는 마법의 기계 (인간보다 똑똑한 마법의 'OOOO') ENG SUB,4:52,조회수 21만회,2년 전
기계공학과 학생이 방학 때 만든 붕어빵 자동 생산 기계 (Eng sub),18:18,조회수 184만회,2년 전
공대생이 도전한 하늘을 나는 스팀펑크 비행선 (도색 스페셜),4:27,조회수 9.9만회,2년 전
스티븐 호킹이 마지막 강연에서 한 말(감동),9:29,조회수 367만회,2년 전
문과는 절대 끝까지 못듣는 음악... #2 | 깨진 유리가 음악이 되는 긱블식 운영,4:53,조회수 16만회,2년 전
3D프린터 장인 긱블이 3D펜 장인 사나고에게 몰카해보기,14:06,조회수 152만회,2년 전
수십 개의 ⚙️톱니바퀴⚙️와 공대감성이 만나 탄생한 예술 작품,11:26,조회수 31만회,2년 전
항공모함 어떻게 만드는지 배우고 오겠습니다...,9:58,조회수 17만회,2년 전
중국의 천재 과학자가 행방불명된 충격적인 이유?! (유전자 편집 아기의 탄생),6:18,조회수 37만회,2년 전
마동석도 들 수 없는 페인트통 만들기ㅋㅋㅋ (with 수상한 녀석들),12:54,조회수 158만회,2년 전
차세대 미세먼지 마스크.. 직접 착용하고 나가봤더니 사람들 반응잌ㅋㅋ,4:00,조회수 31만회,2년 전
책 표지 뜯으면 알 수 있는 책의 비밀ㅋㅋㅋㅋㅋㅋ,7:28,조회수 16만회,2년 전
지금 보이는 열차를 OO로 만들었다고...? (직접 만든 우리나라 첫 지하철 모형),11:05,조회수 29만회,2년 전
루게릭병을 가진 아버지가 딸에게 목소리를 들려줄 수 있게 하는 기계 (ENG SUB),13:43,조회수 161만회,2년 전
제철소에서 직접 가져온 철로 다마스커스 호미 만들기,13:07,조회수 64만회,2년 전
